               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087423,              0.0231,            0.047055,              0.3633,             0.29581,             0.21398,             0.07227,            0.063062,            0.018535,            0.039404,           0.0033122,           0.0033122,             0.07019
                   1,            0.062348,            0.014824,            0.032063,             0.62718,             0.50044,             0.44903,              0.2135,            0.059359,            0.013436,            0.025672,           0.0066127,           0.0066127,            0.040157
                   2,            0.060016,            0.011346,            0.022276,             0.76144,             0.59894,             0.68333,             0.35296,            0.059005,            0.011262,             0.02047,           0.0098801,           0.0098801,            0.010091
                   3,            0.056231,            0.010261,              0.0167,             0.70494,             0.80234,             0.78867,             0.39405,            0.048831,            0.010422,            0.012736,           0.0098515,           0.0098515,           0.0098515
                   4,            0.049762,           0.0093776,            0.012042,             0.87216,             0.85312,             0.88198,             0.48985,             0.04502,           0.0094928,            0.010165,           0.0098515,           0.0098515,           0.0098515
                   5,            0.045114,           0.0090889,             0.01002,             0.91491,             0.85343,             0.92383,             0.56753,             0.03781,           0.0087868,           0.0086158,            0.009802,            0.009802,            0.009802
                   6,            0.042509,           0.0090853,           0.0096593,             0.90799,             0.88177,             0.92711,             0.59164,            0.036516,           0.0091118,           0.0085324,           0.0097525,           0.0097525,           0.0097525
                   7,            0.040627,           0.0088513,           0.0088622,             0.84757,             0.80031,             0.86287,             0.53328,            0.037028,            0.010632,           0.0081315,            0.009703,            0.009703,            0.009703
                   8,            0.039677,           0.0087214,           0.0084759,             0.90557,             0.89937,             0.93547,             0.56226,            0.037827,           0.0087027,           0.0069843,           0.0096535,           0.0096535,           0.0096535
                   9,            0.038475,           0.0085871,           0.0073178,                 0.9,             0.85952,             0.91342,             0.55833,            0.034958,           0.0091183,            0.008211,            0.009604,            0.009604,            0.009604
                  10,            0.036652,           0.0087783,           0.0076304,              0.9055,             0.90437,              0.9401,             0.60936,            0.033377,            0.008317,           0.0059787,           0.0095545,           0.0095545,           0.0095545
                  11,            0.035003,           0.0080718,           0.0062766,             0.91142,             0.91552,             0.94246,             0.62193,             0.03235,           0.0081442,           0.0062123,            0.009505,            0.009505,            0.009505
                  12,            0.034438,           0.0077952,           0.0056469,             0.92541,             0.93899,             0.95546,             0.62246,            0.033135,           0.0078036,           0.0055936,           0.0094555,           0.0094555,           0.0094555
                  13,            0.033452,           0.0075326,           0.0054708,             0.93562,                0.92,               0.951,             0.63343,            0.030696,           0.0079116,           0.0053381,            0.009406,            0.009406,            0.009406
                  14,            0.033438,            0.007588,           0.0053948,             0.93812,             0.94782,             0.96116,             0.64295,            0.030644,           0.0075135,           0.0051035,           0.0093565,           0.0093565,           0.0093565
                  15,            0.032354,           0.0073687,           0.0050162,             0.94232,             0.95048,             0.96596,             0.65651,            0.029758,            0.007431,           0.0050413,            0.009307,            0.009307,            0.009307
                  16,            0.032479,           0.0072281,           0.0049905,             0.94775,             0.92862,             0.96518,             0.64532,            0.029895,           0.0074974,           0.0049192,           0.0092575,           0.0092575,           0.0092575
                  17,            0.032561,           0.0072031,           0.0055611,             0.94464,             0.93565,             0.95925,             0.64964,            0.030732,           0.0076221,           0.0056533,            0.009208,            0.009208,            0.009208
                  18,            0.031445,           0.0074772,           0.0054147,             0.94555,             0.94762,             0.96523,             0.64401,             0.02908,           0.0075485,           0.0050104,           0.0091585,           0.0091585,           0.0091585
                  19,            0.031502,           0.0070928,           0.0050666,             0.95375,             0.91571,             0.96028,             0.64915,            0.029022,           0.0075846,           0.0048418,            0.009109,            0.009109,            0.009109
                  20,            0.031629,           0.0071632,           0.0048999,              0.9417,             0.94946,             0.96191,             0.64972,            0.029602,           0.0075081,           0.0049106,           0.0090595,           0.0090595,           0.0090595
                  21,            0.030925,           0.0069638,           0.0044568,             0.94632,             0.94657,             0.96613,             0.66682,            0.029161,           0.0072234,           0.0046686,             0.00901,             0.00901,             0.00901
                  22,            0.030486,           0.0068958,           0.0047379,             0.94581,             0.93732,             0.96319,             0.65105,            0.029155,           0.0075171,           0.0050435,           0.0089605,           0.0089605,           0.0089605
                  23,             0.03009,           0.0070447,           0.0047513,             0.93423,             0.95227,             0.96736,             0.64968,            0.028507,            0.007291,           0.0043442,            0.008911,            0.008911,            0.008911
                  24,            0.030244,           0.0070614,           0.0042886,             0.94756,             0.93117,              0.9601,             0.65304,            0.027842,           0.0073632,           0.0045286,           0.0088615,           0.0088615,           0.0088615
                  25,            0.028755,           0.0068623,           0.0043461,             0.94363,             0.95478,             0.96518,             0.65753,            0.027871,           0.0070371,           0.0045036,            0.008812,            0.008812,            0.008812
                  26,            0.028796,           0.0067245,           0.0045648,             0.93163,              0.9442,             0.96013,             0.65998,            0.027863,           0.0071433,           0.0051887,           0.0087625,           0.0087625,           0.0087625
                  27,            0.028869,           0.0069639,           0.0042883,             0.94043,             0.95533,             0.97171,             0.66434,            0.026975,           0.0071516,           0.0046715,            0.008713,            0.008713,            0.008713
                  28,            0.028957,           0.0066898,           0.0040898,             0.95013,             0.95003,             0.97265,             0.67585,            0.026245,           0.0069408,           0.0044685,           0.0086635,           0.0086635,           0.0086635
                  29,            0.028409,           0.0065148,           0.0038275,             0.95441,             0.95258,             0.97654,             0.67461,            0.027458,           0.0070879,           0.0043794,            0.008614,            0.008614,            0.008614
                  30,            0.028982,           0.0064264,           0.0038806,             0.94814,             0.95496,             0.97643,             0.67507,            0.027563,           0.0070341,           0.0041473,           0.0085645,           0.0085645,           0.0085645
                  31,            0.028048,            0.006538,           0.0034012,             0.95742,             0.95023,              0.9718,             0.67168,            0.026179,           0.0068251,           0.0041631,            0.008515,            0.008515,            0.008515
                  32,            0.027426,           0.0064184,           0.0035772,              0.9534,             0.95456,             0.97168,             0.67643,            0.025949,           0.0068859,           0.0040383,           0.0084655,           0.0084655,           0.0084655
                  33,            0.027872,           0.0064569,            0.003624,             0.95993,             0.94703,             0.97341,             0.68084,            0.026112,            0.006854,           0.0041184,            0.008416,            0.008416,            0.008416
                  34,            0.027433,           0.0063958,           0.0037802,             0.95261,             0.95523,             0.97148,             0.67484,            0.027064,           0.0068967,           0.0044135,           0.0083665,           0.0083665,           0.0083665
                  35,            0.026922,           0.0062532,           0.0032643,             0.95464,             0.94886,             0.97066,             0.67954,            0.026575,           0.0068226,           0.0041179,            0.008317,            0.008317,            0.008317
                  36,             0.02693,           0.0062747,           0.0031769,             0.94934,             0.95703,              0.9775,             0.68253,            0.026433,            0.006801,           0.0040116,           0.0082675,           0.0082675,           0.0082675
                  37,            0.026477,           0.0062273,           0.0031697,             0.95077,             0.95678,             0.97126,              0.6737,            0.026006,           0.0068025,           0.0040714,            0.008218,            0.008218,            0.008218
                  38,            0.026382,            0.006164,           0.0031493,             0.94847,              0.9556,             0.97367,             0.68018,            0.026228,           0.0067389,           0.0042892,           0.0081685,           0.0081685,           0.0081685
                  39,            0.026661,           0.0060524,           0.0030388,               0.952,             0.96217,             0.97378,             0.68636,             0.02632,           0.0066716,           0.0042481,            0.008119,            0.008119,            0.008119
                  40,            0.027006,           0.0061344,           0.0034299,             0.96177,             0.94301,             0.97191,             0.68619,             0.02558,           0.0067551,           0.0042328,           0.0080695,           0.0080695,           0.0080695
                  41,            0.026604,           0.0060261,           0.0037583,             0.94546,              0.9533,              0.9709,             0.67807,            0.025744,           0.0068201,             0.00443,             0.00802,             0.00802,             0.00802
                  42,            0.026884,           0.0060965,           0.0035141,             0.96213,             0.96082,             0.97277,             0.68303,            0.026503,           0.0067438,           0.0038651,           0.0079705,           0.0079705,           0.0079705
                  43,            0.026669,           0.0061983,           0.0033938,             0.95116,             0.96156,             0.97152,             0.68364,            0.025242,           0.0066767,           0.0039748,            0.007921,            0.007921,            0.007921
                  44,            0.026175,           0.0061726,             0.00339,             0.95338,             0.94824,             0.96877,             0.67579,            0.025253,           0.0068508,           0.0042437,           0.0078715,           0.0078715,           0.0078715
                  45,            0.025874,           0.0061174,           0.0032495,             0.95275,             0.95368,             0.97142,             0.67894,            0.026431,           0.0066993,           0.0044518,            0.007822,            0.007822,            0.007822
                  46,            0.026118,           0.0060861,           0.0030663,             0.95419,             0.95624,             0.97349,             0.68792,            0.025458,           0.0066671,           0.0040633,           0.0077725,           0.0077725,           0.0077725
                  47,            0.025499,           0.0060401,           0.0030922,             0.95304,             0.96043,             0.97277,             0.68376,             0.02532,           0.0067165,           0.0037627,            0.007723,            0.007723,            0.007723
                  48,            0.025394,           0.0059723,           0.0029936,             0.94863,              0.9527,             0.96499,             0.67906,            0.025087,           0.0067673,           0.0040091,           0.0076735,           0.0076735,           0.0076735
                  49,            0.024555,           0.0060107,           0.0033007,              0.9648,             0.94468,             0.97184,             0.68333,            0.024887,           0.0067124,           0.0036931,            0.007624,            0.007624,            0.007624
                  50,            0.026113,           0.0060435,           0.0035303,             0.94213,             0.95326,             0.96894,             0.67507,            0.025558,           0.0068567,           0.0042447,           0.0075745,           0.0075745,           0.0075745
                  51,            0.025018,           0.0061149,           0.0031589,             0.95015,             0.95968,             0.96931,              0.6856,            0.024729,           0.0066627,            0.003837,            0.007525,            0.007525,            0.007525
                  52,            0.025179,           0.0060136,            0.003207,             0.94412,             0.95848,             0.96528,             0.67569,            0.025507,           0.0067512,           0.0039992,           0.0074755,           0.0074755,           0.0074755
                  53,            0.024701,           0.0060559,           0.0029867,             0.95544,             0.95267,             0.97564,             0.68754,            0.025077,           0.0066615,           0.0039848,            0.007426,            0.007426,            0.007426
